ID,Use for zillow scrape
13809,"https://www.zillow.com/homes/2113-WINTER-ST-CHARLOTTE,-NC-28203_rb/"
13815,"https://www.zillow.com/homes/2025-THOMAS-AV-CHARLOTTE,-NC-28204_rb/"
13817,"https://www.zillow.com/homes/2100-BAY-ST-CHARLOTTE,-NC-28204_rb/"
13818,"https://www.zillow.com/homes/816-E-35TH-ST-CHARLOTTE,-NC-28204_rb/"
13820,"https://www.zillow.com/homes/2209-MCCLINTOCK-RD-CHARLOTTE,-NC-28204_rb/"
13823,"https://www.zillow.com/homes/238-W-PARK-AV-CHARLOTTE,-NC-28204_rb/"
13825,"https://www.zillow.com/homes/1027-DRUMMOND-AV-CHARLOTTE,-NC-28204_rb/"
13826,"https://www.zillow.com/homes/2204-NORCROSS-PL-CHARLOTTE,-NC-28204_rb/"
13841,"https://www.zillow.com/homes/322-DOVER-AV-CHARLOTTE,-NC-28205_rb/"
13950,"https://www.zillow.com/homes/6712-WHEELER-DR-CHARLOTTE,-NC-28205_rb/"
14015,"https://www.zillow.com/homes/2116-SCOTT-AV-CHARLOTTE,-NC-28205_rb/"
14113,"https://www.zillow.com/homes/600-REYNOLDS-DR-CHARLOTTE,-NC-28206_rb/"
14114,"https://www.zillow.com/homes/1605-FULTON-AV-CHARLOTTE,-NC-28206_rb/"
14115,"https://www.zillow.com/homes/833-CAMBORNE-PL-CHARLOTTE,-NC-28207_rb/"
14116,"https://www.zillow.com/homes/3320-AUBURN-AV-CHARLOTTE,-NC-28207_rb/"
14117,"https://www.zillow.com/homes/1030-BROADMOOR-DR-CHARLOTTE,-NC-28207_rb/"
14119,"https://www.zillow.com/homes/816-JUDITH-CT-CHARLOTTE,-NC-28207_rb/"
14232,"https://www.zillow.com/homes/2301-LABURNUM-AV-CHARLOTTE,-NC-28209_rb/"
14235,"https://www.zillow.com/homes/5301-BAKER-DR-CHARLOTTE,-NC-28209_rb/"
14243,"https://www.zillow.com/homes/1627-KEELING-PL-CHARLOTTE,-NC-28209_rb/"
14272,"https://www.zillow.com/homes/513-SANDRIDGE-RD-CHARLOTTE,-NC-28209_rb/"
14295,"https://www.zillow.com/homes/1220-SENECA-PL-CHARLOTTE,-NC-28209_rb/"
14324,"https://www.zillow.com/homes/2205-THURMOND-PL-CHARLOTTE,-NC-28209_rb/"
14329,"https://www.zillow.com/homes/1108-SEWICKLEY-DR-CHARLOTTE,-NC-28209_rb/"
14351,"https://www.zillow.com/homes/839-RIVER-OAKS-LN-CHARLOTTE,-NC-28209_rb/"
14391,"https://www.zillow.com/homes/1227-LYNBROOK-DR-CHARLOTTE,-NC-28209_rb/"
14430,"https://www.zillow.com/homes/5911-NATIONS-FORD-RD-CHARLOTTE,-NC-28210_rb/"
14440,"https://www.zillow.com/homes/508-MELBOURNE-CT-CHARLOTTE,-NC-28210_rb/"
14445,"https://www.zillow.com/homes/6547-TALL-OAKS-TL-CHARLOTTE,-NC-28210_rb/"
14546,"https://www.zillow.com/homes/4442-HALSTEAD-DR-CHARLOTTE,-NC-28210_rb/"
14587,"https://www.zillow.com/homes/3008-HANSON-DR-CHARLOTTE,-NC-28210_rb/"
14603,"https://www.zillow.com/homes/2441-CHESTERFIELD-AV-CHARLOTTE,-NC-28210_rb/"
14606,"https://www.zillow.com/homes/6516-TALL-OAKS-TL-CHARLOTTE,-NC-28210_rb/"
14695,"https://www.zillow.com/homes/6417-TALL-OAKS-TL-CHARLOTTE,-NC-28210_rb/"
